Journal,Rank,Author,PapersInJournal,PrimaryAffiliation,TopAffiliationsInJournal,ORCID,OpenAlexAuthorId
IJAIS,81,Clinton E. White,2,University of Delaware,University of Delaware (2),,https://openalex.org/A5012632106
IJAIS,81,Cynthia Jackson,2,Northeastern University,Northeastern University (2),,https://openalex.org/A5000149606
IJAIS,81,David P. Tegarden,2,Virginia Tech,Virginia Tech (1),,https://openalex.org/A5081289844
IJAIS,81,Deniz Appelbaum,2,Montclair State University,"Montclair State University (1); Rutgers, The State University of New Jersey (1)",https://orcid.org/0000-0002-2422-4178,https://openalex.org/A5078832466
IJAIS,81,DeWayne L. Searcy,2,Auburn University,Auburn University (1); University of Tennessee at Knoxville (1),,https://openalex.org/A5068394555
JIS,1,Miklos A. Vasarhelyi,27,"Rutgers, The State University of New Jersey","Rutgers, The State University of New Jersey (25); Rutgers Sexual and Reproductive Health and Rights (1)",https://orcid.org/0000-0003-3205-476X,https://openalex.org/A5049215719
JIS,2,James E. Hunton,22,Bentley University,Bentley University (17); University of South Florida (5); Maastricht University (2),,https://openalex.org/A5087170194
JIS,3,J. Efrim Boritz,19,University of Waterloo,University of Waterloo (19),https://orcid.org/0000-0002-9752-5131,https://openalex.org/A5000598183
JIS,4,Diane J. Janvrin,17,Iowa State University,Iowa State University (16),https://orcid.org/0000-0001-8744-0735,https://openalex.org/A5030021822
JIS,5,Patrick Wheeler,16,Florida Gulf Coast University,University of Missouri (5); University of South Florida (5); Florida Gulf Coast University (4),https://orcid.org/0000-0001-5961-1461,https://openalex.org/A5034076213
JIS,5,Robert Pinsker,16,Florida Atlantic University,Florida Atlantic University (11); Dominion University College (1); Old Dominion University (1),https://orcid.org/0000-0002-5080-2496,https://openalex.org/A5026987002
JIS,5,Roger Debreceny,16,University of Hawaiʻi at Mānoa,University of Hawaiʻi at Mānoa (14); University of Hawaii System (1),https://orcid.org/0000-0002-1526-4899,https://openalex.org/A5063194122
JIS,8,Steve G. Sutton,15,Oklahoma State University Oklahoma City,University of Central Florida (11); Oklahoma State University Oklahoma City (3); Norwegian School of Economics (2); Texas Tech University (1); University of Melbourne (1),https://orcid.org/0000-0002-7096-7394,https://openalex.org/A5016419628
JIS,8,Tawei Wang,15,DePaul University,DePaul University (9); University of Hawaiʻi at Mānoa (5); Auburn University (1),https://orcid.org/0000-0002-4755-3652,https://openalex.org/A5033868166
JIS,10,A. Faye Borthick,13,,Georgia State University (11),https://orcid.org/0000-0002-2122-464X,https://openalex.org/A5068019229
JIS,10,Alexander Kogan,13,"Rutgers, The State University of New Jersey","Rutgers, The State University of New Jersey (13); Rutgers Sexual and Reproductive Health and Rights (1)",https://orcid.org/0000-0001-9672-3876,https://openalex.org/A5047969246
JIS,10,Uday S. Murthy,13,University of South Florida,University of South Florida (9); Mitchell Institute (3); Texas A&M University (3),https://orcid.org/0000-0003-3075-2839,https://openalex.org/A5087877751
JIS,13,Vernon J. Richardson,12,University of Arkansas at Fayetteville,University of Arkansas at Fayetteville (9); University of Kansas (2); Xi’an Jiaotong-Liverpool University (2),https://orcid.org/0000-0002-3397-3744,https://openalex.org/A5026674829
JIS,14,Paul John Steinbart,11,,Arizona State University (9),,https://openalex.org/A5075730165
JIS,15,Guido L. Geerts,10,,University of Delaware (9),,https://openalex.org/A5038278666
JIS,15,Jacob M. Rose,10,Australian Regenerative Medicine Institute,Australian Regenerative Medicine Institute (4); Monash University (4); University of Waikato (4); Oregon State University (2); Southern Illinois University Carbondale (1); University of Missouri (1); University of New Hampshire at Manchester (1),https://orcid.org/0000-0002-8496-264X,https://openalex.org/A5079279172
JIS,15,Theophanis C. Stratopoulos,10,University of Waterloo,University of Waterloo (10),https://orcid.org/0000-0001-9106-7187,https://openalex.org/A5051997338
JIS,15,Vicky Arnold,10,,University of Central Florida (5); Oklahoma State University Oklahoma City (3); Norwegian School of Economics (1); Texas Tech University (1),https://orcid.org/0000-0003-3072-1303,https://openalex.org/A5026894138
JIS,15,Won Gyun No,10,"Rutgers, The State University of New Jersey","Rutgers, The State University of New Jersey (6); Iowa State University (4)",https://orcid.org/0000-0002-1676-4254,https://openalex.org/A5084583272
JIS,20,Carolyn Strand Norman,9,Virginia Commonwealth University,Virginia Commonwealth University (8),,https://openalex.org/A5085961383
JIS,20,David A. Wood,9,Brigham Young University,Brigham Young University (8),https://orcid.org/0000-0002-9748-8561,https://openalex.org/A5075888890
JIS,20,Glen L. Gray,9,"California State University, Northridge","California State University, Northridge (9)",https://orcid.org/0000-0002-0929-3124,https://openalex.org/A5062356029
JIS,20,Stephanie Walton,9,Louisiana State University,Louisiana State University (9),https://orcid.org/0000-0003-0598-0389,https://openalex.org/A5040899608
JIS,20,Taesoo Moon,9,,,https://orcid.org/0000-0003-0248-2595,https://openalex.org/A5000299602
JIS,25,Anna M. Rose,8,University of Waikato,University of Waikato (3); Montana State University (1); Oregon State University (1); Southern Illinois University Carbondale (1); University of Missouri (1); University of New Hampshire at Manchester (1),https://orcid.org/0000-0002-9026-8814,https://openalex.org/A5027331465
JIS,25,Dan N. Stone,8,,University of Kentucky (6),https://orcid.org/0000-0002-0719-3015,https://openalex.org/A5055112920
JIS,25,Jee‐Hae Lim,8,University of Hawaiʻi at Mānoa,University of Waterloo (5); University of Hawaiʻi at Mānoa (3),https://orcid.org/0000-0002-4916-9988,https://openalex.org/A5015685875
JIS,25,Mary B. Curtis,8,University of North Texas,University of North Texas (7),https://orcid.org/0000-0002-8621-6712,https://openalex.org/A5085528784
JIS,25,Tina M. Loraas,8,,Auburn University (7),https://orcid.org/0000-0003-0177-8298,https://openalex.org/A5040489101
JIS,30,Daniel E. O’Leary,7,Southern California University for Professional Studies,University of Southern California (7); Southern California University for Professional Studies (6); California Southern University (1),https://orcid.org/0000-0002-5240-9516,https://openalex.org/A5003034800
JIS,30,Jay C. Thibodeau,7,Bentley University,Bentley University (7),https://orcid.org/0000-0002-4951-0461,https://openalex.org/A5055981040
JIS,30,Marianne Bradford,7,North Carolina State University,North Carolina State University (7),https://orcid.org/0000-0002-7760-1774,https://openalex.org/A5000519241
JIS,30,William N. Dilla,7,Iowa State University,Iowa State University (7),https://orcid.org/0000-0003-0189-4934,https://openalex.org/A5083955206
JIS,34,Brad S. Trinkle,6,Mississippi State University,Mississippi State University (6),,https://openalex.org/A5003010196
JIS,34,Carla Wilkin,6,Australian Regenerative Medicine Institute,Australian Regenerative Medicine Institute (6); Monash University (6),https://orcid.org/0000-0002-3068-2909,https://openalex.org/A5088023784
JIS,34,Cheryl L. Dunn,6,,Dominion University College (1); Florida State University (1); Grand Valley State University (1); Old Dominion University (1),https://orcid.org/0000-0002-2390-3021,https://openalex.org/A5045794343
JIS,34,Donald R. Jones,6,Texas Tech University,Texas Tech University (5); Georgia State University (1),https://orcid.org/0000-0001-8133-8801,https://openalex.org/A5015654808
JIS,34,Hee‐Woong Kim,6,,,https://orcid.org/0000-0001-8514-9434,https://openalex.org/A5033521909
JIS,34,Neal M. Snow,6,Lehigh University,Lehigh University (5); Wright State University (1),https://orcid.org/0000-0003-1348-5628,https://openalex.org/A5020605539
JIS,34,Robert E. Crossler,6,Washington State University,Washington State University (3); Mississippi State University (2),https://orcid.org/0000-0002-8179-9138,https://openalex.org/A5090489133
JIS,34,Robin Pennington,6,North Carolina State University,North Carolina State University (5); University of Tennessee at Knoxville (1),https://orcid.org/0000-0002-6613-8438,https://openalex.org/A5045856865
JIS,34,Robyn L. Raschke,6,"University of Nevada, Las Vegas","University of Nevada, Las Vegas (6)",https://orcid.org/0000-0001-6745-7994,https://openalex.org/A5042188598
JIS,34,Rodney E. Smith,6,"California State University, Long Beach","California State University, Long Beach (6)",,https://openalex.org/A5032068726
JIS,34,Vairam Arunachalam,6,University of Missouri,University of Missouri (6),https://orcid.org/0000-0002-3881-4005,https://openalex.org/A5029747990
JIS,34,Yibo Zhang,6,Miami University,Miami University (5); University of Colorado Denver (1),https://orcid.org/0000-0002-0061-3902,https://openalex.org/A5000865351
JIS,34,Young‐Chan Lee,6,,,https://orcid.org/0000-0003-3715-5279,https://openalex.org/A5019501780
JIS,47,Adi Masli,5,University of Kansas,University of Kansas (5),https://orcid.org/0000-0002-7873-5678,https://openalex.org/A5042318760
JIS,47,Andrea Seaton Kelton,5,University of South Florida,Middle Tennessee State University (2); Wake Forest University (2); University of South Florida (1),https://orcid.org/0000-0002-4105-668X,https://openalex.org/A5065949008
JIS,47,Brad Tuttle,5,University of South Carolina,University of South Carolina (5),,https://openalex.org/A5018317778
JIS,47,Chang Hwal-Sik,5,,,,https://openalex.org/A5056825080
JIS,47,Chulmo Koo,5,,,https://orcid.org/0000-0002-9822-1279,https://openalex.org/A5073215248
JIS,47,Cong Yu,5,Morgan State University,Morgan State University (5),https://orcid.org/0000-0001-7331-2345,https://openalex.org/A5043275971
JIS,47,Eileen Z. Taylor,5,North Carolina State University,North Carolina State University (3); University of South Florida (1),https://orcid.org/0000-0002-6618-0791,https://openalex.org/A5032389855
JIS,47,Gregory J. Gerard,5,Florida State University,Florida State University (5),https://orcid.org/0000-0003-1715-5394,https://openalex.org/A5031257064
JIS,47,Hui Du,5,University of Houston - Clear Lake,University of Houston - Clear Lake (5),https://orcid.org/0009-0005-6913-9013,https://openalex.org/A5049752140
JIS,47,Jacob Z. Haislip,5,Texas Tech University,Texas Tech University (4); University of North Texas (1),https://orcid.org/0000-0002-4970-9411,https://openalex.org/A5025040481
JIS,47,Jacqueline L. Reck,5,University of South Florida,University of South Florida (5),,https://openalex.org/A5001640501
JIS,47,Jongki Kim,5,,,https://orcid.org/0000-0002-3677-8645,https://openalex.org/A5101575613
JIS,47,Kyunghee Yoon,5,Clark University,Clark University (5),https://orcid.org/0000-0001-6766-8206,https://openalex.org/A5079703224
JIS,47,Marc Eulerich,5,University of Duisburg-Essen,University of Duisburg-Essen (5),https://orcid.org/0000-0002-9965-7584,https://openalex.org/A5056975067
JIS,47,Nirmalee I. Raddatz,5,University of Memphis,University of Memphis (5),https://orcid.org/0000-0001-7641-1314,https://openalex.org/A5037763093
JIS,47,Paul L. Bowen,5,,Florida State University (3); University of Queensland (1),,https://openalex.org/A5103921893
JIS,47,Peter Kipp,5,University of North Texas,University of North Texas (5),https://orcid.org/0000-0002-7563-3529,https://openalex.org/A5043491336
JIS,47,Rajendra P. Srivastava,5,University of Kansas,University of Kansas (4),https://orcid.org/0000-0002-6292-4087,https://openalex.org/A5101824578
JIS,47,Ralph E. Viator,5,University of Kentucky,Texas Tech University (4); University of Kentucky (1),,https://openalex.org/A5068594749
JIS,47,Richard B. Dull,5,West Virginia University,West Virginia University (4); Indiana University (1),https://orcid.org/0000-0001-9473-2162,https://openalex.org/A5046499432
JIS,47,Ronald J. Daigle,5,Sam Houston State University,Sam Houston State University (3); Louisiana State University (1),,https://openalex.org/A5006871871
JIS,47,Sally Wright,5,University of Massachusetts Boston,University of Massachusetts Boston (5),https://orcid.org/0000-0002-7889-4871,https://openalex.org/A5110040600
JIS,47,Stephanie Farewell,5,,University of Arkansas at Little Rock (2); University of Arkansas at Fayetteville (1),,https://openalex.org/A5083010218
JIS,47,Woong-Kyu Lee,5,,,https://orcid.org/0009-0009-4385-5985,https://openalex.org/A5102971997
JIS,47,Yiyang Zhang,5,Youngstown State University,Youngstown State University (5),https://orcid.org/0000-0003-0600-3221,https://openalex.org/A5030505021
JIS,72,Antoinette L. Smith,4,Florida International University,Florida International University (4),https://orcid.org/0000-0001-6162-0797,https://openalex.org/A5073999070
JIS,72,Arnold M. Wright,4,Boston College,Boston College (4),,https://openalex.org/A5103443238
JIS,72,Benson Wier,4,Virginia Commonwealth University,Virginia Commonwealth University (4),,https://openalex.org/A5039959962
JIS,72,Bruce Dehning,4,University of Technology Sydney,Chapman University (3); University of New Hampshire at Manchester (1); University of Technology Sydney (1),https://orcid.org/0000-0002-2216-6867,https://openalex.org/A5076358474
JIS,72,Casper E. Wiggins,4,University of North Carolina at Charlotte,University of North Carolina at Charlotte (2); Mitchell Institute (1); Texas A&M University (1),,https://openalex.org/A5111817643
JIS,72,Chang‐Kyo Suh,4,,,https://orcid.org/0000-0001-5764-5561,https://openalex.org/A5018658462
JIS,72,Dal-Ho Son,4,,,,https://openalex.org/A5051757637
JIS,72,David Hayes,4,Louisiana State University,Louisiana State University (2); University of South Florida (2),https://orcid.org/0000-0001-7053-9069,https://openalex.org/A5030088157
JIS,72,Elaine Mauldin,4,University of Missouri,University of Missouri (4),https://orcid.org/0000-0003-3152-6710,https://openalex.org/A5078062811
JIS,72,Ha-Jin Hwang,4,,,,https://openalex.org/A5020899801
JIS,72,Hyunchul Ahn,4,,,https://orcid.org/0000-0003-1867-6423,https://openalex.org/A5010379074
JIS,72,Jie Zhou,4,"California State University, Fullerton","California State University, Fullerton (4)",https://orcid.org/0000-0003-4677-3001,https://openalex.org/A5036015200
JIS,72,John Peter Krahel,4,Loyola University Maryland,"Loyola University Maryland (3); Rutgers, The State University of New Jersey (1)",,https://openalex.org/A5029157426
JIS,72,Julia L. Higgs,4,Florida Atlantic University,Florida Atlantic University (4),https://orcid.org/0000-0003-2698-5904,https://openalex.org/A5035312122
JIS,72,Marilyn Greenstein,4,Arizona State University,Arizona State University (4),,https://openalex.org/A5024743715
JIS,72,Mark D. Sheldon,4,John Carroll University,John Carroll University (4),https://orcid.org/0000-0003-1860-442X,https://openalex.org/A5061486187
JIS,72,Pamela Schmidt,4,Washburn University,Washburn University (3); Wayne State University (1),https://orcid.org/0000-0001-9136-1941,https://openalex.org/A5061793642
JIS,72,Rajiv D. Banker,4,The University of Texas at Dallas,Temple College (2); Temple University (2); The University of Texas at Dallas (2),https://orcid.org/0000-0001-8082-7312,https://openalex.org/A5046472405
JIS,72,Scott L. Summers,4,Brigham Young University,Brigham Young University (4),https://orcid.org/0000-0002-7824-6591,https://openalex.org/A5087829262
JIS,72,Severin V. Grabski,4,Michigan State University,Michigan State University (4),,https://openalex.org/A5049204591
JIS,72,Soon-Goo Hong,4,,,https://orcid.org/0009-0009-3780-0603,https://openalex.org/A5003661474
JIS,72,Taeho Hong,4,,,https://orcid.org/0000-0003-1337-7993,https://openalex.org/A5100607101
JIS,72,Tracie Frost,4,Hong Kong Polytechnic University,Hong Kong Polytechnic University (3); Florida Atlantic University (1),https://orcid.org/0000-0002-0306-3096,https://openalex.org/A5032390159
JIS,72,Xu Cheng,4,Auburn University,Auburn University (4),https://orcid.org/0000-0002-3734-0952,https://openalex.org/A5103079426
JIS,72,Zhijian He,4,Marquette University,Marquette University (4); Florida Atlantic University (1),https://orcid.org/0000-0003-1338-0981,https://openalex.org/A5016115613
JIS,97,Akhilesh Chandra,3,University of Akron,University of Akron (1),https://orcid.org/0000-0002-3788-2524,https://openalex.org/A5052848454
JIS,97,Alastair Robb,3,University of Queensland,University of Queensland (3),,https://openalex.org/A5108284479
JIS,97,Andreas I. Nicolaou,3,Bowling Green State University,Bowling Green State University (3),,https://openalex.org/A5070137549
JIS,97,Arline Savage,3,,California Polytechnic State University (2),https://orcid.org/0000-0001-7680-3270,https://openalex.org/A5007866774